suspect_id,race,prior_record,reoffended
TRAIN_001,흑인,무전과,예
TRAIN_002,백인,전과있음,아니오
TRAIN_003,흑인,무전과,예
TRAIN_004,백인,무전과,아니오
TRAIN_005,백인,전과있음,아니오
TRAIN_006,백인,무전과,아니오
TRAIN_007,흑인,무전과,예
TRAIN_008,흑인,전과있음,예
TRAIN_009,백인,전과있음,예
TRAIN_010,백인,무전과,아니오
TRAIN_011,흑인,무전과,아니오
TRAIN_012,백인,무전과,아니오
TRAIN_013,흑인,전과있음,예
TRAIN_014,흑인,무전과,예
TRAIN_015,백인,무전과,아니오
TRAIN_016,흑인,무전과,아니오
TRAIN_017,흑인,무전과,예
TRAIN_018,흑인,전과있음,예
TRAIN_019,백인,전과있음,아니오
TRAIN_020,흑인,무전과,아니오
TRAIN_021,흑인,전과있음,아니오
TRAIN_022,흑인,무전과,아니오
TRAIN_023,흑인,전과있음,예
TRAIN_024,흑인,무전과,예
TRAIN_025,백인,전과있음,아니오
TRAIN_026,백인,전과있음,아니오
TRAIN_027,흑인,전과있음,아니오
TRAIN_028,흑인,전과있음,예
TRAIN_029,백인,무전과,예
TRAIN_030,백인,전과있음,아니오
TRAIN_031,백인,전과있음,예
TRAIN_032,흑인,전과있음,예
TRAIN_033,백인,전과있음,예
TRAIN_034,흑인,전과있음,예
TRAIN_035,흑인,전과있음,예
TRAIN_036,백인,무전과,아니오
TRAIN_037,흑인,무전과,예
TRAIN_038,흑인,전과있음,예
TRAIN_039,백인,무전과,아니오
TRAIN_040,흑인,무전과,아니오
TRAIN_041,백인,무전과,아니오
TRAIN_042,백인,무전과,아니오
TRAIN_043,백인,전과있음,예
TRAIN_044,백인,전과있음,예
TRAIN_045,백인,전과있음,아니오
TRAIN_046,백인,무전과,예
TRAIN_047,백인,무전과,아니오
TRAIN_048,흑인,전과있음,예
